id,word,phonetic,meaning,example,partOfSpeech,ExampleMeaning
1,Abide by,/É™ËˆbaÉªd baÉª/,"TuÃ¢n theo, chá»‹u theo",The two parties agreed to abide by the judge's decision.,verb
2,Agreement,/É™ËˆÉ¡riËmÉ™nt/,"Há»£p Ä‘á»“ng, sá»± thá»a thuáº­n",According to the agreement, the caterer will also supply the flowers for the event.,noun
3,Assurance,/É™ËˆÊƒÊŠÉ™rÉ™ns/,"Sá»± cam Ä‘oan, báº£o Ä‘áº£m",The sales associate gave his assurance that the missing keyboard would be replaced the next day.,noun
4,Cancellation,/ËŒkÃ¦nsÉ™ËˆleÉªÊƒn/,"Sá»± há»§y bá»",The cancellation of her flight caused her problems for the rest of the week.,noun
5,Determine,/dÉªËˆtÉœËmÉªn/,"Quyáº¿t Ä‘á»‹nh, xÃ¡c Ä‘á»‹nh",After reading the contract, I was still unable to determine if our company was liable for back wages.,verb
6,Engage,/ÉªnËˆÉ¡eÉªdÊ’/,"Tham gia, cam káº¿t",Before engaging in a new business, it is important to do thorough research.,verb
7,Establish,/ÉªËˆstÃ¦blÉªÊƒ/,"ThÃ nh láº­p, thiáº¿t láº­p",The merger of the two companies established a powerful new corporation.,verb
8,Obligate,/ËˆÉ’blÉªÉ¡eÉªt/,"Báº¯t buá»™c, Ã©p buá»™c",The contractor was obligated by the contract to work 40 hours a week.,verb
9,Party,/ËˆpÉ‘Ëti/,"BÃªn (trong há»£p Ä‘á»“ng)",The parties agreed to a settlement in their contract dispute.,noun
10,Provision,/prÉ™ËˆvÉªÊ’n/,"Äiá»u khoáº£n, sá»± cung cáº¥p",The contract contains a provision to deal with how payments are made if John loses his job.,noun
11,Resolve,/rÉªËˆzÉ’lv/,"Giáº£i quyáº¿t",The mediator was able to resolve the problem to everyone's satisfaction.,verb
12,Specific,/spÉ™ËˆsÉªfÉªk/,"Cá»¥ thá»ƒ, Ä‘áº·c trÆ°ng",The customer's complaint was not specific enough for the clerk to find the proper replacement part.,adj
13,Attract,/É™ËˆtrÃ¦kt/,"Thu hÃºt, háº¥p dáº«n",The new advertising campaign attracted thousands of new customers.,verb
14,Compare,/kÉ™mËˆpeÉ™(r)/,"So sÃ¡nh",The customer compared the prices of the two cameras before making a purchase.,verb
15,Competition,/ËŒkÉ’mpÉ™ËˆtÉªÊƒn/,"Sá»± cáº¡nh tranh",In the competition for the contract, the lowest bid was accepted.,noun
16,Consume,/kÉ™nËˆsuËm/,"TiÃªu thá»¥, tiÃªu dÃ¹ng",The printer consumes more toner than the manual suggests.,verb
17,Convince,/kÉ™nËˆvÉªns/,"Thuyáº¿t phá»¥c",He convinced me that he was right.,verb
18,Current,/ËˆkÊŒrÉ™nt/,"Hiá»‡n táº¡i, hiá»‡n hÃ nh",Good market researchers have to be aware of current trends.,adj
19,Fad,/fÃ¦d/,"Má»‘t nháº¥t thá»i",The mini-dress was a fad once thought to be finished, but now it is making a comeback.,noun
20,Inspire,/ÉªnËˆspaÉªÉ™(r)/,"Truyá»n cáº£m há»©ng",His painting style was inspired by the works of the Old Masters.,verb
